N0	Date	close
237	16/12/2021	3700
238	17/12/2021	3700
239	20/12/2021	3790
240	21/12/2021	3770
241	22/12/2021	3870
242	23/12/2021	3890
243	24/12/2021	3860
244	27/12/2021	3970
245	28/12/2021	3960
246	29/12/2021	3940
247	30/12/2021	3890
248	03/01/2022	4140
249	04/01/2022	4030
250	05/01/2022	3950
251	06/01/2022	3960
252	07/01/2022	3940
253	10/01/2022	3930
254	11/01/2022	3900
255	12/01/2022	3900
256	13/01/2022	4030
257	14/01/2022	4040
258	17/01/2022	4020
259	18/01/2022	3940
260	19/01/2022	3840
261	20/01/2022	3870
262	21/01/2022	3960
263	24/01/2022	3910
264	25/01/2022	3840
265	26/01/2022	3740
266	27/01/2022	3710
267	28/01/2022	3630
268	31/01/2022	3640
269	02/02/2022	3730
270	03/02/2022	3630
271	04/02/2022	3620
272	07/02/2022	3640
273	08/02/2022	3580
274	09/02/2022	3600
275	10/02/2022	3530
276	11/02/2022	3600
277	14/02/2022	3650
278	15/02/2022	3760
279	16/02/2022	3800
280	17/02/2022	3860
281	18/02/2022	3850
282	21/02/2022	3810
283	22/02/2022	3780
284	23/02/2022	3850
285	24/02/2022	3840
286	25/02/2022	3870
287	01/03/2022	3810
288	02/03/2022	3900
289	04/03/2022	4240
290	07/03/2022	4360
291	08/03/2022	4700
292	09/03/2022	4600
293	10/03/2022	4390
294	11/03/2022	4350
295	14/03/2022	4300
296	15/03/2022	4230
297	16/03/2022	4220
298	17/03/2022	4370
299	18/03/2022	4300
300	21/03/2022	4340
301	22/03/2022	4530
302	23/03/2022	4540
303	24/03/2022	4750
304	25/03/2022	4750
305	28/03/2022	4730
306	29/03/2022	4580
307	30/03/2022	4520
308	31/03/2022	4530
309	01/04/2022	4590
310	04/04/2022	4870
311	05/04/2022	4858
312	06/04/2022	4902
313	07/04/2022	4951
314	08/04/2022	5390
315	11/04/2022	5073
316	12/04/2022	5366
317	13/04/2022	5390
318	14/04/2022	5250
319	18/04/2022	5700
320	19/04/2022	5425
321	20/04/2022	5700
322	21/04/2022	5500
323	22/04/2022	5300
324	25/04/2022	5200
325	26/04/2022	5075
326	27/04/2022	5300
327	28/04/2022	5300
328	09/05/2022	4950
329	10/05/2022	4830
330	11/05/2022	4860
331	12/05/2022	4600
332	13/05/2022	4380
333	17/05/2022	4480
334	18/05/2022	4750
335	19/05/2022	4980
336	20/05/2022	4860
337	23/05/2022	4840
338	24/05/2022	5275
339	25/05/2022	5100
340	27/05/2022	5275
341	30/05/2022	5175
342	31/05/2022	5450
343	02/06/2022	5200
344	03/06/2022	5200
345	06/06/2022	5300
346	07/06/2022	5150
347	08/06/2022	5125
348	09/06/2022	5150
349	10/06/2022	4970
350	13/06/2022	4700
351	14/06/2022	4700
352	15/06/2022	4430
353	16/06/2022	4400
354	17/06/2022	4100
355	20/06/2022	4550
356	21/06/2022	4600
357	22/06/2022	4490
358	23/06/2022	4440
359	24/06/2022	4440
360	27/06/2022	4150
361	28/06/2022	4030
362	29/06/2022	3940
363	30/06/2022	3990
364	01/07/2022	3960
365	04/07/2022	3880
366	05/07/2022	4050
367	06/07/2022	3810
368	07/07/2022	3820
369	08/07/2022	3890
370	11/07/2022	3810
371	12/07/2022	3750
372	13/07/2022	3610
373	14/07/2022	3570
374	15/07/2022	3350
375	18/07/2022	3510
376	19/07/2022	3770
377	20/07/2022	3830
378	21/07/2022	3780
379	22/07/2022	4030
380	25/07/2022	3920
381	26/07/2022	3920
382	27/07/2022	3930
383	28/07/2022	4140
384	29/07/2022	4060
385	01/08/2022	4130
386	02/08/2022	4110
387	03/08/2022	4100
388	04/08/2022	3970
389	05/08/2022	4070
390	08/08/2022	4240
391	09/08/2022	4190
392	10/08/2022	4190
393	11/08/2022	4470
394	12/08/2022	4380
395	15/08/2022	4300
396	16/08/2022	4230
397	18/08/2022	4240
398	19/08/2022	4310
399	22/08/2022	4140
400	23/08/2022	4150
401	24/08/2022	4190
402	25/08/2022	4130
403	26/08/2022	4160
404	29/08/2022	4120
405	30/08/2022	4290
406	31/08/2022	4280
407	01/09/2022	4120
408	02/09/2022	3990
409	05/09/2022	4090
410	06/09/2022	4170
411	07/09/2022	4020
412	08/09/2022	3950
413	09/09/2022	3940
414	12/09/2022	4180
415	13/09/2022	4360
416	14/09/2022	4340
417	15/09/2022	4340
418	16/09/2022	4220
419	19/09/2022	4170
420	20/09/2022	4170
421	21/09/2022	4140
422	22/09/2022	4240
